;;;;;;;
Id;Duración estimada;Duración real;Prioridad;Tipo;Descartada;Cerrada;
1;1:00:00;0:15:00;High;Infrastructure;No;5/03/2021 18:41:00;
2;0:30:00;1:35:00;Medium;Infrastructure;No;9/03/2021 0:03:00;
3;0:15:00;0:20:00;Medium;Enhancement;No;18/03/2021 22:17:00;
4;4:00:00;13:00:00;Medium;Enhancement;No;5/04/2021 23:26:00;
5;0:30:00;0:15:00;Medium;Enhancement;No;18/03/2021 22:17:00;
6;1:00:00;0:10:00;High;Enhancement;No;9/04/2021 16:11:00;
7;1:00:00;0:30:00;High;Enhancement;No;13/04/2021 20:07:00;
8;3:00:00;3:00:00;High;Enhancement;No;17/04/2021 22:57:00;
9;2:00:00;4:00:00;High;Research;No;24/4/2021 22:48:00;
10;1:00:00;0:30:00;High;Documentation;No;20/04/2021 23:54:00;
11;1:00:00;0:50:00;Medium;Enhancement;No;28/04/2021 22:32:00;
12;4:00:00;7:30:00;Medium;Enhancement;No;30/04/2021 11:49:00;
13;;;Medium;Enhancement;No;;
14;0:20:00;0:10:00;Medium;Enhancement;No;4/05/2021 20:10:00;
15;3:00:00;0:40:00;Medium;Enhancement;No;4/05/2021 20:10:00;
16;;3:00:00;Medium;Research;No;17/05/2021 21:06:00;
17;2:00:00;0:55:00;High;Enhancement;No;4/05/2021 20:09:00;
18;;4:00:00;High;Research;No;11/05/2021 11:59:00;
19;4:00:00;3:00:00;Low;Investigation;Yes;7/07/2021 10:58:00;
20;1:30:00;2:30:00;High;Enhancement;No;7/05/2021 21:33:00;
21;3:00:00;3:30:00;Medium;Enhancement;No;15/05/2021 20:39:00;
22;;;Medium;Enhancement;No;;
23;8:00:00;9:00:00;High;Research;No;11/05/2021 13:43:00;
24;2:00:00;3:00:00;High;Enhancement;No;17/05/2021 21:05:00;
25;3:00:00;4:30:00;High;Enhancement;No;12/05/2021 18:26:00;
26;;9:45:00;High;Research;No;17/05/2021 13:05:00;
27;;8:00:00;High;Research;No;18/05/2021 12:54:00;
28;;;Medium;Enhancement;No;;
29;2:30:00;5:00:00;Medium;Enhancement;No;21/05/2021 22:46:00;
30;1:30:00;1:00:00;High;Enhancement;No;21/05/2021 22:46:00;
31;4:00:00;;High;Enhancement;Yes;24/05/2021 22:01:00;
32;5:00:00;;High;Enhancement;Yes;24/05/2021 22:01:00;
33;3:00:00;;High;Enhancement;Yes;24/05/2021 22:01:00;
34;;11:00:00;High;Research;No;24/05/2021 16:02:00;
35;;8:00:00;High;Research;No;28/05/2021 18:06:00;
36;0:30:00;0:20:00;High;Enhancement;No;21/05/2021 22:45:00;
37;1:00:00;0:30:00;High;Enhancement;No;21/05/2021 22:45:00;
38;3:00:00;4:20:00;High;Enhancement;No;2/06/2021 20:53:00;
39;12:00:00;11:00:00;High;Enhancement;No;26/05/2021 23:33:00;
40;3:00:00;4:00:00;High;Bug;No;4/06/2021 21:05:00;
41;0:45:00;1:30:00;High;Enhancement;No;1/06/2021 17:59:00;
42;1:30:00;2:15:00;High;Enhancement;No;2/06/2021 20:53:00;
43;2:00:00;5:30:00;High;Bug;No;6/06/2021 11:27:00;
44;0:45:00;0:40:00;Medium;Enhancement;No;4/06/2021 20:39:00;
45;0:15:00;0:20:00;Medium;Enhancement;No;4/06/2021 21:03:00;
46;2:30:00;4:00:00;High;Enhancement;No;4/06/2021 21:03:00;
47;2:00:00;2:45:00;Medium;Bug;No;6/06/2021 20:33:00;
48;8:00:00;10:00:00;High;Documentation;No;22/06/2021 19:34:00;
49;5:00:00;10:30:00;High;Documentation;No;7/07/2021 0:17:00;
50;6:00:00;8:00:00;High;Documentation;No;7/07/2021 17:15:00;
51;8:00:00;12:50:00;High;Documentation;No;1/07/2021 21:36:00;
52;8:00:00;9:30:00;High;Documentation;No;1/07/2021 0:51:00;
53;1:00:00;0:25:00;High;Documentation;No;27/06/2021 21:59:00;
54;5:00:00;2:00:00;High;Documentation;No;4/07/2021 12:27:00;
55;4:00:00;0:50:00;High;Enhancement;No;27/06/2021 22:00:00;
56;;;Medium;Enhancement;No;;
57;7:00:00;20:20:00;High;Documentation;No;1/07/2021 0:53:00;
58;0:10:00;0:07:00;Medium;Enhancement;No;30/06/2021 19:08:00;
59;0:10:00;0:04:00;Medium;Enhancement;No;30/06/2021 20:28:00;
60;4:00:00;6:30:00;High;Documentation;No;4/07/2021 12:31:00;
61;6:30:00;8:00:00;High;Documentation;No;4/07/2021 12:39:00;
62;2:00:00;2:00:00;High;Documentation;No;4/07/2021 12:25:00;
63;3:00:00;8:00:00;High;Documentation;No;4/07/2021 23:08:00;
64;1:00:00;1:15:00;High;Documentation;No;4/07/2021 22:59:00;
65;2:00:00;2:20:00;Low;Enhancement;No;4/07/2021 13:20:00;
66;3:00:00;2:30:00;High;Documentation;No;4/07/2021 18:57:00;
67;1:00:00;0:35:00;High;Documentation;No;4/07/2021 12:20:00;
68;;;Medium;Enhancement;No;;
69;7:00:00;6:30:00;High;Documentation;No;7/07/2021 17:07:00;
70;6:00:00;8:00:00;High;Documentation;No;6/07/2021 1:11:00;
71;;;Medium;Enhancement;No;;
72;;;Medium;Enhancement;No;;
73;0:05:00;0:02:00;Low;Documentation;No;7/07/2021 16:51:00;
74;;;Medium;Enhancement;No;;
75;0:10:00;0:06:00;Medium;Documentation;No;7/07/2021 16:53:00;
76;;;Medium;Enhancement;No;;
77;;;Medium;Enhancement;No;;
78;;;Medium;Enhancement;No;;
79;;;Medium;Enhancement;No;;
80;;;Medium;Enhancement;No;;
81;;;Medium;Enhancement;No;;
